name,Design case,Low context,High conext,Future high context
Beijing,1,2015.18,1945.15,1686.44
Beijing,2,2132.33,2051.56,1798.56
Beijing,3,3171.39,3044.55,2662.98
Beijing,4,3238.42,3135.03,2729.17
Beijing,5,4314.06,4032.86,3456.99
Beijing,6,4324.01,4056.46,3563.72
Beijing,7,2048.27,2016.64,1714.08
Beijing,8,2213.73,2115.41,1857.46
Beijing,9,3259.5,3093.47,2682.92
Beijing,10,3377.54,3227.18,2815.32
Beijing,11,4417.27,4088.38,3565.23
Beijing,12,4510.29,4160.71,3694.79
Beijing,13,2823.97,2744.39,2388.56
Beijing,14,2904.49,2803.95,2449.74
Beijing,15,4019.05,3839.82,3525.5
Beijing,16,4140.34,3937.33,3553.78
Beijing,17,5038.1,4637.29,4255.05
Beijing,18,5313.1,4893.11,4431.41
Beijing,19,2924.42,2865.18,2474.54
Beijing,20,3067,2921.81,2525.27
Beijing,21,4179.89,3868.64,3524.61
Beijing,22,4341.3,4068.32,3607.87
Beijing,23,5200.8,4762.2,4304.21
Beijing,24,5434.63,5065.55,4529.79
