name,Design case,Low context,High conext,Future high context
Guangzhou,1,489.18,485.43,381.65
Guangzhou,2,602.36,591.45,466.32
Guangzhou,3,709.65,697.72,545.96
Guangzhou,4,863.06,863.64,665.98
Guangzhou,5,931.71,917.98,700.97
Guangzhou,6,1121.26,1112.32,847.57
Guangzhou,7,495.65,488.31,383.62
Guangzhou,8,629,620.07,485.99
Guangzhou,9,718.45,713.29,548.45
Guangzhou,10,916.55,888.82,694.1
Guangzhou,11,940.67,929.77,707.21
Guangzhou,12,1172.05,1158.35,887.17
Guangzhou,13,655.71,650.62,508.34
Guangzhou,14,791.18,781.2,612.16
Guangzhou,15,934.03,925.01,715.48
Guangzhou,16,1101.19,1099.29,861.01
Guangzhou,17,1203.88,1202.41,905.41
Guangzhou,18,1397.76,1386.13,1084.77
Guangzhou,19,684.09,676.59,531.33
Guangzhou,20,848.09,838.89,658.09
Guangzhou,21,978.1,961.1,741.81
Guangzhou,22,1184.16,1167.65,921.37
Guangzhou,23,1226.72,1189.25,927.23
Guangzhou,24,1476.25,1424.84,1144.96
