name,2020,2050,2080
Mumbai,170.24,167.68,206.36
Mumbai,171.28,168.52,207.68
Mumbai,176.07,176.02,216.05
Mumbai,176.64,176.28,217.14
Mumbai,181.54,186.34,225.77
Mumbai,181.94,186.4,226.78
Mumbai,170.1,167.94,206.95
Mumbai,172.26,169.59,209.24
Mumbai,176.14,176.69,216.95
Mumbai,177.66,177.88,219.14
Mumbai,182.3,187.52,227.05
Mumbai,183.1,188.4,229.16
Mumbai,173.08,178.44,221.82
Mumbai,175.1,178.56,222.03
Mumbai,184.67,193.37,237.8
Mumbai,186.59,193.55,237.96
Mumbai,200.15,208.82,251.82
Mumbai,201.39,208.89,251.88
Mumbai,179.2,177.84,222.02
Mumbai,181.05,179.19,225.07
Mumbai,192.46,190.36,235.1
Mumbai,194.05,191.12,238.13
Mumbai,204.62,198.96,242.31
Mumbai,204.85,199.75,244.11
